Date_Time,Model_Name,Train_AUC,Validation_AUC,Accuracy,Precision,Recall,F1_Score,Log_Loss,MCC,Balanced_Accuracy,Confusion_Matrix_TP,Confusion_Matrix_FP,Confusion_Matrix_FN,Confusion_Matrix_TN,Model_Filename,Learning_Rate,N_Estimators,Max_Depth,Min_Child_Weight,Gamma,Subsample,Colsample_Bytree,Reg_Lambda,Reg_Alpha,random_state,scale_pos_weight,kaggle_score
20230629_094250,XGBoost,1.0,0.9787400779558816,0.9867876767302588,0.9153846153846154,0.7891246684350133,0.8475783475783476,0.0454329215410846,0.8432428218588344,0.8927815921337146,595,55,159,15388,Models\XGBoost_model-20230629_094250.pickle,0.009,1800,10.0,4.0,0.1,0.8,0.8,0.8,0.8,,22.83079941147621,
20230629_094545,XGBoost,1.0,0.97870357854013,0.9869111563869852,0.9143730886850152,0.7931034482758621,0.8494318181818183,0.0456454184646841,0.8449573898428362,0.8947386049253427,598,56,156,15387,Models\XGBoost_model-20230629_094545.pickle,0.009,1800,10.0,4.0,0.1,0.8,0.8,0.8,0.8,,22.83079941147621,
20230629_094826,XGBoost,1.0,0.9786984256814356,0.9866024572451688,0.917573872472784,0.7824933687002652,0.8446671438797423,0.0456847598183005,0.8406140760807616,0.889530696523933,590,53,164,15390,Models\XGBoost_model-20230629_094826.pickle,0.009,1800,10.0,4.0,0.1,0.8,0.8,0.8,0.8,,22.83079941147621,
20230629_095415,XGBoost,0.9999474238791124,0.978938838378069,0.9867876767302588,0.8748159057437408,0.8215767634854771,0.8473609129814551,0.0504860991760782,0.8409155357242685,0.9080418391551724,594,85,129,15389,Models\XGBoost_model-20230629_095415.pickle,0.008,1200,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,22.473913043478262,
20230629_095912,XGBoost,0.996650984895903,0.9702684179811906,0.9784527999012164,0.7244501940491591,0.8045977011494253,0.762423417290674,0.266974100567192,0.7523050804275402,0.8954283260924212,560,213,136,15288,Models\XGBoost_model-20230629_095912.pickle,0.001,1200,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,22.17167381974249,
20230629_100456,XGBoost,0.9982439857854476,0.9720855094939204,0.9799345557819348,0.7592829705505761,0.8123287671232877,0.784910655195235,0.1756886779189564,0.774885372929277,0.9000869283343857,593,188,137,15279,Models\XGBoost_model-20230629_100456.pickle,0.001,2000,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,22.553562772661174,
20230629_100751,XGBoost,0.998178831308287,0.9717411616955586,0.9797493362968452,0.7576923076923077,0.8095890410958904,0.7827814569536423,0.1760600261632098,0.7726393847323936,0.8986847384311805,591,189,139,15278,Models\XGBoost_model-20230629_100751.pickle,0.001,2000,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,22.553562772661174,
20230629_101353,XGBoost,1.0,0.9806949093687896,0.9874208982867726,0.8993576017130621,0.7835820895522388,0.8374875373878364,0.0423901828408727,0.8331122053413696,0.8898992399137784,420,47,116,12375,Models\XGBoost_model-20230629_101353.pickle,0.01,2000,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,21.964111652636245,
20230629_101718,XGBoost,1.0,0.9803865674044844,0.9874208982867726,0.8993576017130621,0.7835820895522388,0.8374875373878364,0.0423287641314427,0.8331122053413696,0.8898992399137784,420,47,116,12375,Models\XGBoost_model-20230629_101718.pickle,0.01,2000,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,21.964111652636245,
20230629_102058,XGBoost,1.0,0.9806680251936264,0.9876524154962184,0.9051724137931034,0.7835820895522388,0.8400000000000001,0.04234413495964,0.8359595865702283,0.89001999341563,420,44,116,12378,Models\XGBoost_model-20230629_102058.pickle,0.01,2000,10.0,5.0,0.1,0.8,0.8,0.8,0.8,,21.964111652636245,
